swsLengthHR,swsTimeHR,swsLengthT,swsTimeT,decreasePercentageT,swsTimeM,swsLengthM,decreasePercentageM,amountAsleep,amountAwake,sleepEfficiency,timesAwoken,epochCapacity,epochPeak,epochPeakCounter,stormPeak,largestStorm,timesEdaStorm,meanEdaStorm,lengthEdaStorm
0.0,0.0,0.45542,0.24138,0.74409,0.05263,-0.76879,0.79021,0.23869,0.47748,0.64444,0.25806,-0.72013,0.14281,-0.75443,-0.93204,0.00945,0.23077,0.00241,-0.78303
0.52292,0.25,0.05497,0.03448,0.76855,0.10526,-0.58362,0.7987,0.2201,0.31532,0.72824,0.48387,-0.59139,0.16328,-0.61465,-0.04998,0.00675,0.41346,0.00157,-0.60715
0.0,0.0,0.13897,0.06897,0.68165,0.26316,1.01797,0.70887,0.22111,0.08108,0.91944,0.09677,-0.74408,0.15698,-0.80949,-0.48474,0.0054,0.25,0.00175,-0.79141
0.0,0.0,0.1829,0.10345,0.72764,0.18421,0.84476,0.8318,0.2407,0.06306,0.9425,0.16129,-0.34009,0.1504,-0.28851,-0.35342,0.0108,0.53846,0.0023,-0.37683
0.0,0.0,0.63362,0.24138,0.6928,0.0,-1.00196,0.73533,0.19598,0.21622,0.77916,0.16129,-0.2904,0.26071,-0.47487,0.20249,0.02969,0.29808,0.00585,-0.47733
0.15362,0.125,0.04268,0.03448,0.72855,0.13158,-0.476,0.93186,0.24623,0.32883,0.74628,0.41935,-0.72005,0.14142,-0.63583,-0.65635,0.04318,0.21154,0.00412,-0.73278
0.39143,0.25,0.0,0.0,0.6637,0.13158,-0.3461,0.59461,0.25578,0.13063,0.89344,0.22581,-0.513,0.22357,-0.41134,-0.04564,0.06073,0.38462,0.00441,-0.41452
0.30683,0.16667,0.05943,0.03448,0.72158,0.23684,0.78014,0.80118,0.19648,0.35135,0.67362,0.32258,-0.82433,0.10192,-0.84761,-1.57397,0.00405,0.17308,0.00159,-0.89191
0.0,0.0,0.09678,0.06897,0.77261,0.18421,0.35299,0.80189,0.27337,0.12613,0.90617,0.29032,-0.69928,0.14014,-0.53841,-0.69339,0.01215,0.41346,0.00176,-0.5904
0.0,0.0,0.44825,0.13793,0.74452,0.13158,-0.19076,0.90662,0.15075,0.23423,0.70208,0.29032,0.24479,0.18512,-0.13179,0.38787,0.06478,0.39423,0.00743,-0.1507
0.21012,0.125,0.24929,0.10345,0.64013,0.0,-1.00196,0.70215,0.21558,0.03153,0.95934,0.03226,0.54212,0.28246,0.48661,0.66682,0.05398,0.39423,0.01471,0.44395
0.21012,0.125,0.24929,0.10345,0.64013,0.0,-1.00196,0.70215,0.21558,0.03153,0.95934,0.03226,0.54212,0.28246,0.48661,0.66682,0.05398,0.39423,0.01471,0.44395
0.18321,0.08333,0.0,0.0,0.66793,0.18421,0.6361,0.61573,0.22965,0.04505,0.95149,0.03226,0.60981,0.31045,0.63486,0.70123,0.11471,0.39423,0.01692,0.62402
0.10972,0.08333,0.0,0.0,0.69731,0.0,-1.00196,0.63948,0.25327,0.03604,0.96794,0.03226,-0.51529,0.15108,-0.28851,-0.19875,0.01484,0.44231,0.0038,-0.36845
0.11003,0.08333,0.04461,0.03448,0.70102,0.34211,1.91098,0.68123,0.26683,0.03153,0.97213,0.06452,0.13535,0.22813,0.48237,0.33247,0.09312,0.57692,0.0078,0.32669
0.17534,0.08333,0.092,0.06897,0.68159,0.07895,2.26805,0.68395,0.28241,0.02252,0.98451,0.03226,0.24952,0.24719,0.74922,0.5298,0.09987,0.61538,0.00884,0.55283
0.04887,0.04167,0.06183,0.03448,0.70351,0.31579,2.03935,0.6555,0.24171,0.04054,0.95909,0.06452,0.02533,0.19409,0.3426,0.29306,0.03914,0.5,0.00808,0.16756
0.14919,0.08333,0.0,0.0,0.61765,0.0,-1.00196,0.64141,0.25226,0.02252,0.979,0.03226,0.26731,0.23322,0.73228,0.56957,0.06208,0.73077,0.0071,0.59889
0.10502,0.08333,0.0,0.0,0.64839,0.07895,-0.39821,0.60826,0.23819,0.04054,0.96029,0.06452,-0.21912,0.21774,-0.19956,0.22751,0.03104,0.44231,0.00522,-0.23864
0.22439,0.125,0.0,0.0,0.64612,0.15789,-0.12851,0.68165,0.28342,0.04054,0.97013,0.06452,-0.21238,0.26157,0.04611,0.38984,0.10121,0.44231,0.00742,-0.03763
0.11911,0.08333,0.13351,0.06897,0.70415,0.07895,-0.59509,0.67842,0.21658,0.01351,0.97837,0.03226,-0.06353,0.15106,0.07152,0.18674,0.02699,0.5,0.0067,0.02518
0.11961,0.08333,0.0,0.0,0.58464,0.21053,1.61888,0.63878,0.28593,0.00901,0.99409,0.03226,0.1383,0.24051,0.44002,0.57559,0.08502,0.625,0.0074,0.3937
0.10347,0.08333,0.0,0.0,0.67244,0.15789,0.18472,0.69932,0.26583,0.03153,0.97305,0.03226,0.46834,0.27747,0.67721,0.6257,0.08772,0.45192,0.01453,0.64914
0.11739,0.08333,0.37051,0.17241,0.63908,0.15789,0.01976,0.69005,0.22211,0.0,0.99304,0.0,-0.82308,0.1104,-0.81372,-0.46168,0.00945,0.24038,0.00149,-0.81653
